1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,18.6392,9999,9999,1^4^20:1^1^1520
9999,14.6647,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,4.68309,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,1.0335,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,5.60697,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,19.8032,9999,9999,1^3^20:1^1^1520
9999,10.325,9999,9999,1^4^20:1^1^1520
9999,5.77435,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.01213,9999,9999,1^2^20:1^4^1020:1^1^1520
